,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS
961,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
962,AA,American Airlines Inc.,2017,Y,AIRBUS,A321-231,40800
963,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
964,AA,American Airlines Inc.,2009,Y,AIRBUS,A319-112,36700
965,AA,American Airlines Inc.,2004,Y,AIRBUS,A319-112,36700
966,AA,American Airlines Inc.,2004,Y,AIRBUS,A319-112,36700
967,AA,American Airlines Inc.,2003,Y,AIRBUS,A319-112,36700
968,AA,American Airlines Inc.,2003,Y,AIRBUS,A319-112,36700
969,AA,American Airlines Inc.,2003,Y,AIRBUS,A319-112,36700
970,AA,American Airlines Inc.,2003,Y,AIRBUS,A319-112,36700
971,AA,American Airlines Inc.,2006,Y,AIRBUS,A319-112,36700
972,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-214,37200
973,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
974,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-214,37200
975,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
976,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
977,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
978,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
979,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
980,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
981,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
982,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
983,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
984,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
985,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
986,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
987,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
988,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
989,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
990,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
991,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
992,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
993,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-214,37200
994,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000
995,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
996,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700
997,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-232,38500
998,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-132,36700
999,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-214,37200
1000,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-132,36700
1001,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-112,35000
1002,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-112,35000
1003,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-232,38500
1004,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-232,38500
1005,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-214,37200
1006,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1007,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1008,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1009,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1010,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1011,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1012,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1013,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1014,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1015,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1016,AA,American Airlines Inc.,2018,Y,BOEING,B737-800MAX,42900
1017,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900
1018,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900
1019,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900
1020,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900
1021,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1022,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1023,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1024,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900
1025,AA,American Airlines Inc.,2019,Y,BOEING,B737-800MAX,42900
1026,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1027,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
1028,AA,American Airlines Inc.,2020,Y,BOEING,B737-800MAX,42900
